prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,179,priority_lru,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,99,priority_lru,fp16,1
q0,0,1,decode,cuda:0,132,5,127,127,83,49,49,priority_lru,fp16,1
q0,0,1,decode,cuda:1,126,4,122,122,79,47,47,priority_lru,fp16,1
q0,0,2,decode,cuda:0,132,7,125,125,69,63,63,priority_lru,fp16,1
q0,0,2,decode,cuda:1,126,5,121,121,83,43,43,priority_lru,fp16,1
q0,0,3,decode,cuda:0,132,2,130,130,79,53,53,priority_lru,fp16,1
q0,0,3,decode,cuda:1,126,2,124,124,84,42,42,priority_lru,fp16,1
q0,0,4,decode,cuda:0,132,7,125,125,77,55,55,priority_lru,fp16,1
q0,0,4,decode,cuda:1,126,3,123,123,93,33,33,priority_lru,fp16,1
q0,0,5,decode,cuda:0,132,4,128,128,74,58,58,priority_lru,fp16,1
q0,0,5,decode,cuda:1,126,1,125,125,100,26,26,priority_lru,fp16,1
q0,0,6,decode,cuda:0,132,5,127,127,71,61,61,priority_lru,fp16,1
q0,0,6,decode,cuda:1,126,1,125,125,92,34,34,priority_lru,fp16,1
q0,0,7,decode,cuda:0,132,11,121,121,76,56,56,priority_lru,fp16,1
q0,0,7,decode,cuda:1,126,1,125,125,98,28,28,priority_lru,fp16,1
q0,0,8,decode,cuda:0,132,13,119,119,81,51,51,priority_lru,fp16,1
q0,0,8,decode,cuda:1,126,2,124,124,87,39,39,priority_lru,fp16,1
q0,0,9,decode,cuda:0,132,7,125,125,64,68,68,priority_lru,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,86,40,40,priority_lru,fp16,1
q0,0,10,decode,cuda:0,132,11,121,121,73,59,59,priority_lru,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,76,50,50,priority_lru,fp16,1
q0,0,11,decode,cuda:0,132,7,125,125,89,43,43,priority_lru,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,93,33,33,priority_lru,fp16,1
q0,0,12,decode,cuda:0,132,1,131,131,62,70,70,priority_lru,fp16,1
q0,0,12,decode,cuda:1,126,12,114,114,98,28,28,priority_lru,fp16,1
q0,0,13,decode,cuda:0,132,3,129,129,87,45,45,priority_lru,fp16,1
q0,0,13,decode,cuda:1,126,12,114,114,104,22,22,priority_lru,fp16,1
q0,0,14,decode,cuda:0,132,10,122,122,76,56,56,priority_lru,fp16,1
q0,0,14,decode,cuda:1,126,13,113,113,107,19,19,priority_lru,fp16,1
q0,0,15,decode,cuda:0,132,4,128,128,86,46,46,priority_lru,fp16,1
q0,0,15,decode,cuda:1,126,9,117,117,105,21,21,priority_lru,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,278,priority_lru,fp16,1
q0,0,1,decode,pooled,258,9,249,249,162,96,96,priority_lru,fp16,1
q0,0,2,decode,pooled,258,12,246,246,152,106,106,priority_lru,fp16,1
q0,0,3,decode,pooled,258,4,254,254,163,95,95,priority_lru,fp16,1
q0,0,4,decode,pooled,258,10,248,248,170,88,88,priority_lru,fp16,1
q0,0,5,decode,pooled,258,5,253,253,174,84,84,priority_lru,fp16,1
q0,0,6,decode,pooled,258,6,252,252,163,95,95,priority_lru,fp16,1
q0,0,7,decode,pooled,258,12,246,246,174,84,84,priority_lru,fp16,1
q0,0,8,decode,pooled,258,15,243,243,168,90,90,priority_lru,fp16,1
q0,0,9,decode,pooled,258,7,251,251,150,108,108,priority_lru,fp16,1
q0,0,10,decode,pooled,258,11,247,247,149,109,109,priority_lru,fp16,1
q0,0,11,decode,pooled,258,7,251,251,182,76,76,priority_lru,fp16,1
q0,0,12,decode,pooled,258,13,245,245,160,98,98,priority_lru,fp16,1
q0,0,13,decode,pooled,258,15,243,243,191,67,67,priority_lru,fp16,1
q0,0,14,decode,pooled,258,23,235,235,183,75,75,priority_lru,fp16,1
q0,0,15,decode,pooled,258,13,245,245,191,67,67,priority_lru,fp16,1
q1,1,0,prefill,cuda:0,856,4,852,852,58,798,798,priority_lru,fp16,1
q1,1,0,prefill,cuda:1,776,14,762,762,47,729,729,priority_lru,fp16,1
q1,1,1,decode,cuda:0,132,5,127,127,84,48,48,priority_lru,fp16,1
q1,1,1,decode,cuda:1,126,4,122,122,70,56,56,priority_lru,fp16,1
q1,1,2,decode,cuda:0,132,3,129,129,82,50,50,priority_lru,fp16,1
q1,1,2,decode,cuda:1,126,2,124,124,94,32,32,priority_lru,fp16,1
q1,1,3,decode,cuda:0,132,5,127,127,99,33,33,priority_lru,fp16,1
q1,1,3,decode,cuda:1,126,5,121,121,95,31,31,priority_lru,fp16,1
q1,1,4,decode,cuda:0,132,6,126,126,80,52,52,priority_lru,fp16,1
q1,1,4,decode,cuda:1,126,2,124,124,93,33,33,priority_lru,fp16,1
q1,1,5,decode,cuda:0,132,15,117,117,93,39,39,priority_lru,fp16,1
q1,1,5,decode,cuda:1,126,3,123,123,101,25,25,priority_lru,fp16,1
q1,1,6,decode,cuda:0,132,14,118,118,93,39,39,priority_lru,fp16,1
q1,1,6,decode,cuda:1,126,2,124,124,90,36,36,priority_lru,fp16,1
q1,1,7,decode,cuda:0,132,14,118,118,80,52,52,priority_lru,fp16,1
q1,1,7,decode,cuda:1,126,5,121,121,80,46,46,priority_lru,fp16,1
q1,1,8,decode,cuda:0,132,10,122,122,91,41,41,priority_lru,fp16,1
q1,1,8,decode,cuda:1,126,8,118,118,82,44,44,priority_lru,fp16,1
q1,1,9,decode,cuda:0,132,9,123,123,56,76,76,priority_lru,fp16,1
q1,1,9,decode,cuda:1,126,11,115,115,88,38,38,priority_lru,fp16,1
q1,1,10,decode,cuda:0,132,9,123,123,79,53,53,priority_lru,fp16,1
q1,1,10,decode,cuda:1,126,15,111,111,95,31,31,priority_lru,fp16,1
q1,1,11,decode,cuda:0,132,21,111,111,93,39,39,priority_lru,fp16,1
q1,1,11,decode,cuda:1,126,14,112,112,100,26,26,priority_lru,fp16,1
q1,1,12,decode,cuda:0,132,4,128,128,86,46,46,priority_lru,fp16,1
q1,1,12,decode,cuda:1,126,11,115,115,93,33,33,priority_lru,fp16,1
q1,1,13,decode,cuda:0,132,13,119,119,91,41,41,priority_lru,fp16,1
q1,1,13,decode,cuda:1,126,17,109,109,91,35,35,priority_lru,fp16,1
q1,1,14,decode,cuda:0,132,13,119,119,85,47,47,priority_lru,fp16,1
q1,1,14,decode,cuda:1,126,5,121,121,76,50,50,priority_lru,fp16,1
q1,1,15,decode,cuda:0,132,11,121,121,85,47,47,priority_lru,fp16,1
q1,1,15,decode,cuda:1,126,13,113,113,94,32,32,priority_lru,fp16,1
q1,1,0,prefill,pooled,1632,18,1614,1614,105,1527,1527,priority_lru,fp16,1
q1,1,1,decode,pooled,258,9,249,249,154,104,104,priority_lru,fp16,1
q1,1,2,decode,pooled,258,5,253,253,176,82,82,priority_lru,fp16,1
q1,1,3,decode,pooled,258,10,248,248,194,64,64,priority_lru,fp16,1
q1,1,4,decode,pooled,258,8,250,250,173,85,85,priority_lru,fp16,1
q1,1,5,decode,pooled,258,18,240,240,194,64,64,priority_lru,fp16,1
q1,1,6,decode,pooled,258,16,242,242,183,75,75,priority_lru,fp16,1
q1,1,7,decode,pooled,258,19,239,239,160,98,98,priority_lru,fp16,1
q1,1,8,decode,pooled,258,18,240,240,173,85,85,priority_lru,fp16,1
q1,1,9,decode,pooled,258,20,238,238,144,114,114,priority_lru,fp16,1
q1,1,10,decode,pooled,258,24,234,234,174,84,84,priority_lru,fp16,1
q1,1,11,decode,pooled,258,35,223,223,193,65,65,priority_lru,fp16,1
q1,1,12,decode,pooled,258,15,243,243,179,79,79,priority_lru,fp16,1
q1,1,13,decode,pooled,258,30,228,228,182,76,76,priority_lru,fp16,1
q1,1,14,decode,pooled,258,18,240,240,161,97,97,priority_lru,fp16,1
q1,1,15,decode,pooled,258,24,234,234,179,79,79,priority_lru,fp16,1
q2,2,0,prefill,cuda:0,783,5,778,778,103,680,680,priority_lru,fp16,1
q2,2,0,prefill,cuda:1,731,6,725,725,97,634,634,priority_lru,fp16,1
q2,2,1,decode,cuda:0,132,7,125,125,78,54,54,priority_lru,fp16,1
q2,2,1,decode,cuda:1,126,9,117,117,91,35,35,priority_lru,fp16,1
q2,2,2,decode,cuda:0,132,7,125,125,84,48,48,priority_lru,fp16,1
q2,2,2,decode,cuda:1,126,2,124,124,80,46,46,priority_lru,fp16,1
q2,2,3,decode,cuda:0,132,5,127,127,78,54,54,priority_lru,fp16,1
q2,2,3,decode,cuda:1,126,0,126,126,97,29,29,priority_lru,fp16,1
q2,2,4,decode,cuda:0,132,1,131,131,61,71,71,priority_lru,fp16,1
q2,2,4,decode,cuda:1,126,0,126,126,67,59,59,priority_lru,fp16,1
q2,2,5,decode,cuda:0,132,0,132,132,81,51,51,priority_lru,fp16,1
q2,2,5,decode,cuda:1,126,2,124,124,86,40,40,priority_lru,fp16,1
q2,2,6,decode,cuda:0,132,1,131,131,75,57,57,priority_lru,fp16,1
q2,2,6,decode,cuda:1,126,0,126,126,68,58,58,priority_lru,fp16,1
q2,2,7,decode,cuda:0,132,3,129,129,83,49,49,priority_lru,fp16,1
